Land,AGS,Landkreis,Wahlberechtigte,Wähler,Ungültige.Erststimmen,Gültige.Erststimmen,CDU.Erststimmen,SPD.Erststimmen,FDP.Erststimmen,DIE LINKE.Erststimmen,GRÜNE.Erststimmen,CSU.Erststimmen,PIRATEN.Erststimmen,NPD.Erststimmen,Tierschutzpartei.Erststimmen,REP.Erststimmen,ÖDP.Erststimmen,FAMILIE.Erststimmen,Bündnis 21/RRP.Erststimmen,RENTNER.Erststimmen,BP.Erststimmen,PBC.Erststimmen,BüSo.Erststimmen,DIE VIOLETTEN.Erststimmen,MLPD.Erststimmen,"Volksabstimmung.Erststimmen",AfD.Erststimmen,BIG.Erststimmen,pro Deutschland.Erststimmen,FREIE WÄHLER.Erststimmen,PARTEI DER VERNUNFT.Erststimmen,Die PARTEI.Erststimmen,B.Erststimmen,BGD.Erststimmen,DKP.Erststimmen,NEIN!.Erststimmen,Übrige.Erststimmen,Ungültige.Zweitstimmen,Gültige.Zweitstimmen,CDU.Zweitstimmen,SPD.Zweitstimmen,FDP.Zweitstimmen,DIE LINKE.Zweitstimmen,GRÜNE.Zweitstimmen,CSU.Zweitstimmen,PIRATEN.Zweitstimmen,NPD.Zweitstimmen,Tierschutzpartei.Zweitstimmen,REP.Zweitstimmen,ÖDP.Zweitstimmen,FAMILIE.Zweitstimmen,Bündnis 21/RRP.Zweitstimmen,RENTNER.Zweitstimmen,BP.Zweitstimmen,PBC.Zweitstimmen,BüSo.Zweitstimmen,DIE VIOLETTEN.Zweitstimmen,MLPD.Zweitstimmen,Volksabstimmung.Zweitstimmen,PSG.Zweitstimmen,AfD.Zweitstimmen,BIG.Zweitstimmen,pro Deutschland.Zweitstimmen,DIE RECHTE.Zweitstimmen,DIE FRAUEN.Zweitstimmen,FREIE WÄHLER.Zweitstimmen,"Nichtwähler.Zweitstimmen",PARTEI DER VERNUNFT.Zweitstimmen,Die PARTEI.Zweitstimmen
BW,8128,Main-Tauber-Kreis,103412,76489,1098,75391,44504,15589,1487,2597,4666,0,1517,1090,0,0,984,0,0,0,0,0,0,0,0,0,2957,0,0,0,0,0,0,0,0,0,0,1067,75422,39181,14441,3965,3085,5825,0,1522,987,540,361,685,0,0,209,0,96,9,0,14,125,0,3728,21,68,0,0,482,0,78,0
BW,8135,Heidenheim,95364,68801,1267,67534,35694,17891,1234,4157,6126,0,2281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,900,67901,30553,16264,3066,3761,6167,0,1432,929,476,522,414,0,0,234,0,161,5,0,31,142,0,3209,56,88,0,0,340,0,51,0
BW,8136,Ostalbkreis,230348,170614,3047,167567,99743,39455,3302,6556,12247,0,4911,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,2138,168476,87140,35007,8129,6846,13941,0,3310,2078,1104,752,458,0,0,399,0,382,28,0,63,273,0,7581,76,132,0,0,599,0,178,0
BW,8211,"Baden-Baden, Stadt",39375,28352,376,27976,14781,6016,1140,1003,2950,0,518,210,0,0,0,0,0,0,0,0,0,0,0,0,1240,0,0,0,0,0,0,0,0,0,118,310,28042,13257,5361,2320,1226,3072,0,467,176,200,46,50,0,0,67,0,34,2,0,6,43,0,1547,8,19,0,0,115,0,26,0
BW,8212,"Karlsruhe, Stadt",205735,150050,1939,148111,58452,43866,4714,7254,20337,0,5149,912,0,452,0,0,0,0,0,0,0,0,0,0,5983,0,0,992,0,0,0,0,0,0,0,1444,148606,55791,33785,8978,8933,22263,0,6009,853,1111,352,423,0,0,250,0,205,34,0,93,185,0,8334,77,90,0,0,724,0,116,0
BW,8215,Karlsruhe,323219,243561,4233,239328,128261,59220,6996,8692,17791,0,6395,2905,0,2120,0,0,0,0,0,0,0,0,0,0,3560,0,0,3388,0,0,0,0,0,0,0,3130,240431,114252,49416,14072,9894,21706,0,5891,2251,2078,1471,504,0,0,608,0,610,29,0,74,414,0,14514,108,302,0,0,1974,0,263,0
BW,8216,Rastatt,168180,119807,2137,117670,63069,27466,3387,4070,9283,0,2540,1432,0,0,0,0,0,0,0,0,0,0,0,0,5781,0,0,0,0,0,0,0,0,0,642,1892,117915,58495,24682,6116,4829,10151,0,2439,1233,876,330,230,0,0,313,0,140,10,0,48,286,0,6850,38,102,0,0,636,0,111,0
BW,8221,"Heidelberg, Stadt",97398,74750,698,74052,26399,24044,2389,3461,11647,0,1836,350,0,0,350,0,0,0,0,0,0,0,0,0,2934,0,0,214,0,428,0,0,0,0,0,643,74107,24637,16943,5349,5134,14020,0,2534,326,427,76,223,0,0,98,0,70,4,0,24,64,0,3858,32,22,0,0,214,0,52,0
BW,8222,"Mannheim, Universitätsstadt",198525,137796,2629,135167,53819,43736,3772,8951,16544,0,4606,2514,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,955,0,0,0,0,0,2052,135744,47598,37367,7427,10227,15047,0,4287,1585,1378,514,278,0,0,497,0,162,27,0,120,277,0,8148,104,136,0,0,465,0,100,0
BW,8225,Neckar-Odenwald-Kreis,110012,79096,1202,77894,46120,17107,1320,2561,4353,0,1451,1087,0,0,572,0,0,0,0,0,0,0,0,0,3323,0,0,0,0,0,0,0,0,0,0,1272,77824,40335,15828,3991,3294,5159,0,1527,1036,659,254,345,0,0,177,0,117,15,0,20,174,0,4266,54,81,0,0,429,0,63,0
